ཨཱོ o:_⁵⁵
གཏབ _t_ap_⁵¹
གཏབས _t_əp_⁵¹
གཏས _t_ɛ?_⁵¹
གཏིངས _t_iŋ_⁵¹
གཏིད _t_i?_⁵¹
གཏིན _t_in_⁵⁵
གཏིམས _t_im_⁵¹
གཏིལ _t_i:_⁵⁵
གཏིས _t_i?_⁵¹
གཏུང _t_uŋ_⁵⁵
གཏུངས _t_up_⁵¹
གཏུད _t_y?_⁵¹
གཏུས _t_y?_⁵¹
གཏེག _t_e?_⁵¹
གཏེགས _t_e?_⁵¹
གཏེངས _t_eŋ_⁵¹
གཏེད _t_e?_⁵¹
གཏེན _t_en_⁵⁵
གཏེབ _t_ep_⁵¹
གཏེབས _t_ep_⁵¹
གཏེམ _t_em_⁵⁵
གཏེམས _t_em_⁵¹
གཏེལ _t_e:_⁵⁵
གཏེས _t_e?_⁵¹
གཏོངས _t_oŋ_⁵¹
གཏོབ _t_op_⁵¹
གཏོབས _t_op_⁵¹
གདཨང _t_aŋ_¹³
གདད _t_ɛ?_¹³²
གདབས _t_əp_¹³²
གདི _t_i_¹³
གདིག _t_i?_¹³²
གདིགས _t_i?_¹³²
གདིངས _t_iŋ_¹³²
གདིད _t_i?_¹³²
གདིན _t_in_¹³
གདིབ _t_ip_¹³²
གདིབས _t_ip_¹³²
གདིམ _t_im_¹³
གདིམས _t_im_¹³²
གདིར _t_ir_¹³
གདིལ _t_i:_¹³
གདིས _t_i?_¹³²
གདུན _t_yn_¹³
གདུབས _t_up_¹³²
གདུམས _t_um_¹³²
གདུར _t_ur_¹³
གདེ _t_e_¹³
གདེད _t_e?_¹³²
གདེན _t_en_¹³
གདེབ _t_ep_¹³²
གདེབས _t_ep_¹³²
གདེམ _t_em_¹³
གདེམས _t_em_¹³²
གདེར _t_er_¹³
གདེལ _t_e:_¹³
གདེས _t_e?_¹³²
གདོ _t_o_¹³
གདོག _t_o?_¹³²
གདོགས _t_o?_¹³²
གདོབ _t_op_¹³²
གདོབས _t_op_¹³²
གདོམ _t_om_¹³
གདོར _t_or_¹³
གནགས _n_a?_¹³²
གནབ _n_ap_¹³²
གནབས _n_əp_¹³²
གནམས _n_am_¹³²
གནར _n_ar_¹³
གནལ _n_ɛ:_¹³
གནི _n_i_¹³
གནིག _n_i?_¹³²
གནིགས _n_i?_¹³²
གནིང _n_iŋ_¹³
གནིངས _n_iŋ_¹³²
གནིད _n_i?_¹³²
གནིན _n_in_¹³
གནིབ _n_ip_¹³²
གནིབས _n_ip_¹³²
གནིམ _n_im_¹³
གནིམས _n_im_¹³²
གནིར _n_ir_¹³
གནིལ _n_i:_¹³
གནིས _n_i?_¹³²
གནུ _n_u_¹³
གནུག _n_u?_¹³²
གནུགས _n_u?_¹³²
གནུང _n_uŋ_¹³
གནུངས _n_up_¹³²
གནུད _n_y?_¹³²
གནུན _n_yn_¹³
གནུམ _n_um_¹³
གནུམས _n_um_¹³²
གནུལ _n_y:_¹³
གནུས _n_y?_¹³²
གནེ _n_e_¹³
གནེག _n_e?_¹³²
གནེགས _n_e?_¹³²
གནེང _n_eŋ_¹³
གནེངས _n_eŋ_¹³²
གནེད _n_e?_¹³²
གནེན _n_en_¹³
གནེབ _n_ep_¹³²
གནེབས _n_ep_¹³²
གནེམ _n_em_¹³
གནེམས _n_em_¹³²
གནེར _n_er_¹³
གནེལ _n_e:_¹³
གནེས _n_e?_¹³²
གནོ _n_o_¹³
གནོགས _n_o?_¹³²
གནོབ _n_op_¹³²
གནོབས _n_op_¹³²
གནོམ _n_om_¹³
གནོམས _n_om_¹³²
གནོར _n_or_¹³
གནོལ _n_ø:_¹³
གབས _kh_əp_¹³²
གམས _kh_am_¹³²
གཙང _ts_aŋ_⁵⁵
གཙངས _ts_aŋ_⁵¹
གཙད _ts_ɛ?_⁵¹
གཙན _ts_an_⁵⁵
གཙམ _ts_am_⁵⁵
གཙམས _ts_am_⁵¹
གཙར _ts_ar_⁵⁵
གཙལ _ts_ɛ:_⁵⁵
གཙས _ts_ɛ?_⁵¹
གཙིང _ts_iŋ_⁵⁵
གཙིངས _ts_iŋ_⁵¹
གཙིད _ts_i?_⁵¹
གཙིན _ts_in_⁵⁵
གཙིབ _ts_ip_⁵¹
གཙིབས _ts_ip_⁵¹
གཙིམ _ts_im_⁵⁵
གཙིམས _ts_im_⁵¹
གཙིལ _ts_i:_⁵⁵
གཙུ _ts_u_⁵⁵
གཙུགས _ts_u?_⁵¹
གཙུང _ts_uŋ_⁵⁵
གཙུངས _ts_up_⁵¹
གཙུད _ts_y?_⁵¹
གཙུན _ts_yn_⁵⁵
གཙུམ _ts_um_⁵⁵
གཙུམས _ts_um_⁵¹
གཙུར _ts_ur_⁵⁵
གཙུལ _ts_y:_⁵⁵
གཙུས _ts_y?_⁵¹
གཙེག _ts_e?_⁵¹
གཙེང _ts_eŋ_⁵⁵
གཙེངས _ts_eŋ_⁵¹
གཙེན _ts_en_⁵⁵
གཙེབ _ts_ep_⁵¹
གཙེབས _ts_ep_⁵¹
གཙེམ _ts_em_⁵⁵
གཙེམས _ts_em_⁵¹
གཙེལ _ts_e:_⁵⁵
གཙོང _ts_oŋ_⁵⁵
གཙོངས _ts_oŋ_⁵¹
གཙོན _ts_on_⁵⁵
གཙོབ _ts_op_⁵¹
གཙོབས _ts_op_⁵¹
